channel name,channel id,video name,video id,Comment Count
Bikini Ifrit,UCSuNyZj316skzw4q_I5BYlQ,Bodysuit,HCZ9sX5Nt4U,141.0
Bikini Ifrit,UCSuNyZj316skzw4q_I5BYlQ,even more unboxing,3mnI01vFBrQ,140.0
Bikini Ifrit,UCSuNyZj316skzw4q_I5BYlQ,samus,MYC9uvEMKxY,140.0
Bikini Ifrit,UCSuNyZj316skzw4q_I5BYlQ,zod,2cKkPiiikS4,140.0
Bikini Ifrit,UCSuNyZj316skzw4q_I5BYlQ,asada,c_pCa4prvBE,138.0
Bikini Ifrit,UCSuNyZj316skzw4q_I5BYlQ,Dress,iGTDv2Y7kBM,138.0
Bikini Ifrit,UCSuNyZj316skzw4q_I5BYlQ,Almost summer,-MdX8H-yEZU,138.0
Bikini Ifrit,UCSuNyZj316skzw4q_I5BYlQ,yt heel vlog,Cm1ekObdbVQ,137.0
Bikini Ifrit,UCSuNyZj316skzw4q_I5BYlQ,Friday,o8viTha665U,137.0
Bikini Ifrit,UCSuNyZj316skzw4q_I5BYlQ,Laundry,iseEr_YsSZo,134.0
Bikini Ifrit,UCSuNyZj316skzw4q_I5BYlQ,Friday unboxing!,6In6gXq-rg4,133.0
Bikini Ifrit,UCSuNyZj316skzw4q_I5BYlQ,random access memories,MghisqfVGh8,131.0
Bikini Ifrit,UCSuNyZj316skzw4q_I5BYlQ,Confess,hNmJ3ZDP_ek,131.0
Bikini Ifrit,UCSuNyZj316skzw4q_I5BYlQ,Ready for coffee? ☕️,rvhbehQMYeI,131.0
Bikini Ifrit,UCSuNyZj316skzw4q_I5BYlQ,unbox these shorts,DzTeTrs-Ffs,130.0
Bikini Ifrit,UCSuNyZj316skzw4q_I5BYlQ,Salsa,_EGZ_ZfeYIM,130.0
